IS1,IS2,TS2,FS2,IS3,TS3,FS3,IS4,TS4,FS4,IS5,TS5,FS5,IS_5,TS_5,FS_5,TS6,FS6,TS_6,FS_6,FS7,IS8,FS8
3530.445667,3493.577596,3452.94259,3474.549995,3464.598344,3435.11326,3428.501225,3428.985739,1869.474623,1166.84145,648.296287,602.892263,1491.005037,3423.274132,3435.230744,3323.143159,2262.058361,2246.606684,1103.56699,1988.028547,2426.743065,1169.642671,4318.398497
3530.10307,3492.117407,3355.874358,3389.140884,3379.417113,1214.875761,1212.20071,647.104214,590.230871,935.307125,637.30075,575.925523,327.498147,714.17578,912.9035,1215.477623,261.061825,392.917909,401.931902,1196.387747,256.707463,1155.221622,256.612716
3405.87742,3366.498142,1816.126585,1496.317091,1498.63004,850.464921,974.348224,643.05158,531.38397,919.60361,610.708035,438.846508,299.40186,680.084424,644.645352,1025.661748,259.829348,305.074263,368.62797,961.881571,255.221759,970.484757,255.224279
1622.549382,1586.3016,1488.47793,1172.02087,647.43726,609.305631,784.494903,603.190782,498.799783,618.735621,597.526672,413.533429,280.25291,640.3927,577.564202,659.089675,258.547461,304.961615,268.802632,831.418867,255.087537,942.33703,255.066658
1619.708452,1586.026317,907.91392,931.569035,615.42399,542.862333,682.357883,486.842342,264.221977,580.813316,514.029305,338.304723,262.541532,604.219673,555.980807,421.416407,256.753208,263.288049,262.938642,312.211802,255.025315,852.650012,254.789502
995.747719,1114.637866,828.08417,850.321879,564.668686,461.664282,653.269635,485.950522,256.912252,567.306808,496.589235,292.725779,260.288562,596.888409,482.470135,375.226309,255.15778,260.807747,258.739362,264.664016,255.009987,843.643142,254.6466
255.745483,555.920754,580.174057,652.485822,512.428424,404.842154,598.729837,262.628105,254.962346,266.152018,263.12244,263.3585,257.975489,526.147979,438.852565,342.764859,254.854087,260.763166,257.023561,259.560474,254.953214,260.550064,254.42386
255.702453,555.049401,460.6515,616.126708,371.262754,355.191139,508.778982,258.016856,254.47805,257.823303,259.400436,259.949929,255.265874,515.640954,273.537431,269.960526,251.566286,256.858179,255.86988,258.221174,254.909778,258.963525,254.259567
255.695329,365.664638,279.949874,566.127987,267.467988,261.390326,478.963434,254.541571,250.854096,255.183781,257.045424,255.137122,253.894913,474.84056,268.905194,264.325777,247.811136,253.076586,252.622947,256.456666,246.071937,257.621503,245.576812
255.510684,263.592927,269.498765,514.143169,263.436419,258.430727,262.328504,254.456013,250.333748,253.978509,255.411123,253.44287,252.328173,263.032139,264.517514,261.580216,246.573681,252.993471,251.626695,254.800368,246.024667,255.657639,245.103682
255.390693,261.290809,266.233585,380.704573,257.005057,256.364468,260.800255,251.453747,246.441915,250.673362,253.749649,253.391088,251.49198,260.232558,260.508638,260.066433,243.939354,250.718123,249.489894,254.025857,240.618173,254.049463,240.086068
255.363113,261.082271,257.088883,268.167211,255.524435,256.140225,256.045652,251.320293,245.881575,249.657889,252.162507,252.97358,250.685732,258.669053,257.464909,255.587612,243.53071,248.258013,247.980957,249.790306,240.577411,253.668699,240.008787
254.760117,256.759493,254.488488,265.272516,253.772507,255.258898,255.617506,246.643241,245.504089,247.345032,249.247694,250.495329,247.993254,256.947966,252.040234,252.966876,242.910529,244.719535,247.395274,248.715392,237.237056,248.84984,237.607548
247.163434,254.081484,253.212541,259.540089,251.005965,251.391856,252.523676,246.444262,245.369969,247.193922,247.521047,248.013299,246.067182,253.264307,251.421046,251.011639,241.77533,244.063327,246.814778,247.68536,237.2027,246.588277,237.345954
247.057836,254.035135,252.044311,254.373732,250.43938,248.826386,251.95686,243.936186,244.065148,246.441259,246.19462,245.892826,244.343085,253.090315,250.832771,250.436164,240.909832,244.006432,245.543849,247.200848,237.085521,246.307637,237.326051
242.500618,249.736425,249.67199,253.611227,249.009581,248.520681,249.269242,243.795334,241.990629,244.802604,243.738474,245.497496,242.43717,250.147947,249.215331,248.444449,236.619399,242.644692,243.88776,245.117939,237.074827,244.921653,237.20584
242.469589,248.481479,248.777675,252.437051,246.780802,245.62582,246.915317,243.690354,241.439447,244.601677,242.526211,244.355347,240.855864,247.857225,246.250171,245.80061,235.485002,241.410018,243.135293,244.106793,237.032854,244.620288,237.121152
238.514591,244.520885,248.280686,251.411332,246.477692,244.981529,246.341092,243.259775,238.784066,242.962014,241.460982,242.539243,238.515847,246.607465,244.094415,244.140347,234.861869,241.018359,239.80878,243.636129,236.959025,244.348633,236.90901
238.473191,244.204478,247.490287,250.70776,243.721083,244.172726,245.362347,242.322864,238.508997,242.050883,241.136128,241.968393,235.963931,244.348198,243.438487,243.876631,225.609602,233.023399,238.556646,243.321257,223.768192,243.822126,223.988563
238.427324,243.445065,244.680033,248.653354,241.924524,243.932261,244.066563,240.468324,236.176897,239.67489,240.061419,241.140215,233.537143,244.141677,241.509356,243.40434,224.653245,232.403628,236.011221,239.341581,223.713429,242.66083,223.9569
238.09296,243.386116,242.873303,247.723908,241.638872,241.935842,243.619208,236.78897,234.259416,236.186494,233.159897,236.738755,229.337539,242.62364,240.076537,242.753778,199.956292,229.657797,234.963198,238.146902,191.907082,240.451696,194.252098
237.733968,241.369861,241.351598,246.267658,237.592093,240.45063,242.727887,236.615167,233.647332,234.630681,232.78861,231.274021,228.264094,242.087952,234.661303,239.255878,199.151791,221.280149,230.75162,235.782986,191.869504,240.100143,194.178952
